id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
3711,0,``One Size Fits All'' Database Architectures Do Not Work for DDS,Clark D. French,SIGMOD Conference,1995,Dynamic service matchmaking among agents in open information environments,"Katia Sycara, Matthias Klusch, Seth Widoff, Jianguo Lu",ACM SIGMOD Record ,1999
6515,0,Building Scalable Internet Applications with Oracle8i Server,"Olga Peschansky, Jos? Alberto Fern?ndez, Julie Basu",VLDB,2000,Data mining techniques,Jiawei Han,International Conference on Management of Data,1996
2792,0,Snakes and Sandwiches: Optimal Clustering Strategies for a Data Warehouse,"Laks V. S. Lakshmanan, Divesh Srivastava, H. V. Jagadish",SIGMOD Conference,1999,Supporting efficient multimedia database exploration,"Wen-Syan Li, K.Sel&#231;uk Candan, Kyoji Hirata, Yoshinori Hara",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
3862,0,Staggered Striping in Multimedia Information Systems,"Steven Berson, Richard R. Muntz, Shahram Ghandeharizadeh, Xiangyu Ju",SIGMOD Conference,1994,What Is the Nearest Neighbor in High Dimensional Spaces?,"Alexander Hinneburg, Charu C. Aggarwal, Daniel A. Keim",Very Large Data Bases,2000
5225,0,The Microsoft Database Research Group,"Roger S. Barga, David B. Lomet, Per-?ke Larson, Surajit Chaudhuri, Vivek R. Narasayya",SIGMOD Record,1998,A Non-Uniform Data Fragmentation Strategy for Parallel Main-Menory Database Systems,"N. Bassiliades, Ioannis P. Vlahavas",Very Large Data Bases,1995
8400,0,One-dimensional and multi-dimensional substring selectivity estimation,"Raymond T. Ng, Divesh Srivastava, H. V. Jagadish, Olga Kapitskaia",VLDB J.,2000,Book review column,Karl Aberer,ACM SIGMOD Record ,2003
8557,0,Guest editorial,"Vijay Atluri, Anupam Joshi, Yelena Yesha",VLDB J.,2003,On the semantics of now in databases,"James Clifford, Curtis Dyreson, Tom&#225;s Isakowitz, Christian S. Jensen, Richard Thomas Snodgrass",ACM Transactions on Database Systems (TODS) ,1997
3358,0,The MENTOR Workbench for Enterprise-wide Workflow Management,"Jeanine Wei?enfels, Dirk Wodtke, Angelika Kotz Dittrich, Gerhard Weikum, Peter Muth",SIGMOD Conference,1997,A brief survey of web data extraction tools,"Alberto H. F. Laender, Berthier A. Ribeiro-Neto, Altigran S. da Silva, Juliana S. Teixeira",ACM SIGMOD Record ,2002
6843,0,Networked Data Management Design Points,James R. Hamilton,VLDB,1999,Database systems management and Oracle8,C. Gregory Doherty,International Conference on Management of Data,1998
6552,0,PicoDMBS: Scaling Down Database Techniques for the Smartcard,"Luc Bouganim, Patrick Valduriez, Philippe Pucheral, Christophe Bobineau",VLDB,2000,Storing semistructured data with STORED,"Alin Deutsch, Mary Fernandez, Dan Suciu",International Conference on Management of Data,1999
1525,1,INSITE: A Tool for Interpreting Users? Interaction with a Web Space,"Farnoush Banaei Kashani, Jabed Faruque, Adil Faisal, Cyrus Shahabi",VLDB,2000,INSITE: A Tool for Interpreting Users? Interaction with a Web Space,"Cyrus Shahabi, Adil Faisal, Farnoush Banaei Kashani, Jabed Faruque",Very Large Data Bases,2000
4437,0,Web caching for database applications with Oracle Web Cache,"Jordan Parker, Jesse Anton, Zheng Zeng, Lawrence Jacobs, Tie Zhong, Xiang Liu",SIGMOD Conference,2002,Performance of Data-Parallel Spatial Operations,"Erik G. Hoel, Hanan Samet",Very Large Data Bases,1994
801,1,Analysis of SIGMOD's co-authorship graph,"Mario A. Nascimento, J?rg Sander, Jeffrey Pound",SIGMOD Record,2003,Analysis of SIGMOD's co-authorship graph,"Mario A. Nascimento, J&#246;rg Sander, Jeffrey Pound",ACM SIGMOD Record ,2003
1008,1,Building Database-driven Electronic Catalogs,Sherif Danish,SIGMOD Record,1998,Building database-driven electronic catalogs,Sherif Danish,ACM SIGMOD Record ,1998
630,1,Dynamic XML documents with distribution and replication,"Ioana Manolescu, Serge Abiteboul, Tova Milo, Angela Bonifati, Gregory Cobena",SIGMOD Conference,2003,Dynamic XML documents with distribution and replication,"Serge Abiteboul, Angela Bonifati, Gr&#233;gory Cob&#233;na, Ioana Manolescu, Tova Milo",International Conference on Management of Data,2003
3911,0,Partition Selection Policies in Object Database Garbage Collection,"Benjamin G. Zorn, Alexander L. Wolf, Jonathan E. Cook",SIGMOD Conference,1994,Partitioned garbage collection of a large object store,"Umesh Maheshwari, Barbara Liskov",International Conference on Management of Data,1997
2207,1,Semantic Interoperability in Global Information Systems: A Brief Introduction to the Research Area and the Special Section,"Amit P. Sheth, Aris M. Ouksel",SIGMOD Record,1999,Semantic interoperability in global information systems,"A. M. Ouksel, A. Sheth",ACM SIGMOD Record ,1999
4347,0,GEA: a toolkit for gene expression analysis,"Jessica M. Phan, Raymond T. Ng",SIGMOD Conference,2002,Procedures in Object-Oriented Query Languages,"Kazimierz Subieta, Yahiko Kambayashi, Jacek Leszczylowski",Very Large Data Bases,1995
3171,0,SuperSQL: An Extended SQL for Database Publishing and Presentation,Motomichi Toyama,SIGMOD Conference,1998,Book review column,Karl Aberer,ACM SIGMOD Record ,2003
2107,1,The CORAL Deductive System,"Raghu Ramakrishnan, S. Sudarshan, Divesh Srivastava, Praveen Seshadri",VLDB J.,1994,The CORAL deductive system,"Raghu Ramakrishnan, Divesh Srivastava, S. Sudarshan, Praveen Seshadri",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994
1317,1,Declarative Updates of Relational Databases,Weidong Chen,ACM Trans. Database Syst.,1995,Declarative updates of relational databases,Weidong Chen,ACM Transactions on Database Systems (TODS) ,1995
4954,0,Towards Knowledge-Based Digital Libraries,"Manfred A. Jeusfeld, Ling Feng, Jeroen Hoppenbrouwers",SIGMOD Record,2001,Magic conditions,"Inderpal Singh Mumick, Sheldon J. Finkelstein, Hamid Pirahesh, Raghu Ramakrishnan",ACM Transactions on Database Systems (TODS) ,1996
3290,0,Supporting Multiple View Maintenance Policies,"Latha S. Colby, Kenneth A. Ross, Akira Kawaguchi, Daniel F. Lieuwen, Inderpal Singh Mumick",SIGMOD Conference,1997,UniSQL's next-generation object-relational database management system,"Albert D'Andrea, Phil Janus",ACM SIGMOD Record ,1996
6931,0,XML Repository and Active Views Demonstration,"Bruno Tessier, Am?lie Marian, Brendan Hills, Sophie Cluet, Jean-Claude Mamou, Bernd Amann, Anne-Marie Vercoustre, Fr?d?ric Hubert, Vincent Aguilera, Laurent Mignet, Serge Abiteboul, S?bastien Ailleret, Tova Milo, Cassio Souza dos Santos",VLDB,1999,On random sampling over joins,"Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya",International Conference on Management of Data,1999
6420,0,SMOOTH - A Distributed Multimedia Database System,"Christian Hanin, Roland Tusch, Carmen Riedler, Harald Kosch, Margit Lang, L?szl? B?sz?rm?nyi, Christian Hofbauer, Alexander Bachlechner",VLDB,2001,On-Demand Data Elevation in Hierarchical Multimedia Storage Servers,"Peter Triantafillou, Thomas Papadakis",Very Large Data Bases,1997
1447,1,WebFilter: A High-throughput XML-based Publish and Subscribe System,"Fran?oise Fabret, Dennis Shasha, Hans-Arno Jacobsen, Fran?ois Llirbat, Jo?o Pereira",VLDB,2001,WebFilter: A High-throughput XML-based Publish and Subscribe System,"Jo&#227;o Pereira, Fran&#231;oise Fabret, Hans-Arno Jacobsen, Fran&#231;ois Llirbat, Dennis Shasha",Very Large Data Bases,2001
5476,0,"Database Research at the Indian Institute of Technology, Bombay","S. Seshadri, Nandlal L. Sarda, D. B. Phatak, S. Sudarshan",SIGMOD Record,1996,The Value of Merge-Join and Hash-Join in SQL Server,Goetz Graefe,Very Large Data Bases,1999
6865,0,Query Optimization for XML,"Jason McHugh, Jennifer Widom",VLDB,1999,Data page layouts for relational databases on deep memory hierarchies,"Anastassia Ailamaki, David J. DeWitt, Mark D. Hill",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2002
8549,0,Locating and accessing data repositories with WebSemantics,"George A. Mihaila, Louiqa Raschid, Anthony Tomasic",VLDB J.,2002,Answering complex SQL queries using automatic summary tables,"Markos Zaharioudakis, Roberta Cochrane, George Lapis, Hamid Pirahesh, Monica Urata",International Conference on Management of Data,2000
6797,0,Extracting Large-Scale Knowledge Bases from the Web,"Andrew Tomkins, Prabhakar Raghavan, Ravi Kumar, Sridhar Rajagopalan",VLDB,1999,A Database System for Real-Time Event Aggregation in Telecommunication,"Jerry Baulier, Stephen Blott, Henry F. Korth, Abraham Silberschatz",Very Large Data Bases,1998
4246,0,Archiving scientific data,"Sanjeev Khanna, Peter Buneman, Wang Chiew Tan, Keishi Tajima",SIGMOD Conference,2002,FeedbackBypass: A New Approach to Interactive Similarity Query Processing,"Ilaria Bartolini, Paolo Ciaccia, Florian Waas",Very Large Data Bases,2001
5531,0,Managing Video Data in a Mobile Environment,"Rafael Alonso, Yuh-Lin Chang, V. S. Mani, Liviu Iftode",SIGMOD Record,1995,CONTROL: continuous output and navigation technology with refinement on-line,"Ron Avnur, Joseph M. Hellerstein, Bruce Lo, Chris Olston, Bhaskaran Raman, Vijayshankar Raman, Tali Roth, Kirk Wylie",International Conference on Management of Data,1998
5596,0,METU Interoperable Database System,"Ebru Kilic, Pinar Koksal, Cem Evrendilek, Ugur Halici, Sema Mancuhan, N. Kesim, Asuman Dogac, Cevdet Dengi, Sena Nural, G?khan ?zhan, Fatma Ozcan, Ismailcem Budak Arpinar",SIGMOD Record,1995,To Weave the Web,"Paolo Atzeni, Giansalvatore Mecca, Paolo Merialdo",Very Large Data Bases,1997
5612,0,A Close Look at the IFO Data Model,Magdy S. Hanna,SIGMOD Record,1995,DIRECTV and Oracle Rdb: the challenge of VLDB transaction processing,William L. Gettys,International Conference on Management of Data,1995
6870,0,Loading a Cache with Query Results,"Ioana Ursu, Donald Kossmann, Laura M. Haas",VLDB,1999,Multimedia streaming in large-scale sensor networks with mobile swarms,"Mario Gerla, Kaixin Xu",ACM SIGMOD Record ,2003
1126,1,Object Query Standards,Andrew E. Wade,SIGMOD Record,1996,Object query standards,Andrew E. Wade,ACM SIGMOD Record ,1996
7311,0,Merging Ranks from Heterogeneous Internet Sources,"Hector Garcia-Molina, Luis Gravano",VLDB,1997,Fast subsequence matching in time-series databases,"Christos Faloutsos, M. Ranganathan, Yannis Manolopoulos",International Conference on Management of Data,1994
3563,0,Broadcast Disks: Data Management for Asymmetric Communications Environments,"Michael J. Franklin, Stanley B. Zdonik, Swarup Acharya, Rafael Alonso",SIGMOD Conference,1995,Belief reasoning in MLS deductive databases,Hasan M. Jamil,International Conference on Management of Data,1999
5859,0,Tracing the lineage of view data in a warehousing environment,"Janet L. Wiener, Yingwei Cui, Jennifer Widom",ACM Trans. Database Syst.,2000,Parallel database systems in the 1990's,Michael J. Carey,International Conference on Management of Data,1994
7541,0,Supporting Procedural Constructs in SQL Compilers,Nelson Mendon?a Mattos,VLDB,1996,A theory of redo recovery,"David Lomet, Mark Tuttle",International Conference on Management of Data,2003
7179,0,A Language for Manipulating Arrays,"Arunprasad P. Marathe, Kenneth Salem",VLDB,1997,Are the terms version and variant orthogonal to one another?,Hartmut Wedekind,ACM SIGMOD Record ,1994
814,1,In-context peer-to-peer information filtering on the Web,Aris M. Ouksel,SIGMOD Record,2003,In-context peer-to-peer information filtering on the Web,Aris M. Ouksel,ACM SIGMOD Record ,2003
4674,0,Reminiscences an Influential Papers,"Jeffrey F. Naughton, Minos N. Garofalakis, Kenneth A. Ross",SIGMOD Record,2003,Career-enhancing services at SIGMOD online,"Alexandros Labrinidis, Alberto O. Mendelzon",ACM SIGMOD Record ,2001
4823,0,The Design and Performance Evaluation of Alternative XML Storage Strategies,"David J. DeWitt, Jianjun Chen, Chun Zhang, Feng Tian",SIGMOD Record,2002,Database research at NTHU and ITRI,Arbee L. P. Chen,ACM SIGMOD Record ,1994
4882,0,Mining Email Content for Author Identification Forensics,"George M. Mohay, M. Corney, A. Anderson, Olivier Y. de Vel",SIGMOD Record,2001,Similarity based Retrieval of Pictures Using Indices on Spatial Relationships,"A. Prasad Sistla, Clement T. Yu, Chengwen Liu, King Liu",Very Large Data Bases,1995
5882,0,An Ontological Analysis of the Relationship Construct in Conceptual Modeling,"Veda C. Storey, Yair Wand, Ron Weber",ACM Trans. Database Syst.,1999,A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data,"Khaled Alsabti, Sanjay Ranka, Vineet Singh",Very Large Data Bases,1997
3065,0,Using Schematically Heterogeneous Structures,Ren?e J. Miller,SIGMOD Conference,1998,Object query standards,Andrew E. Wade,ACM SIGMOD Record ,1996
7502,0,Obtaining Complete Answers from Incomplete Databases,Alon Y. Levy,VLDB,1996,Client-site query extensions,"Tobias Mayr, Praveen Seshadri",International Conference on Management of Data,1999
8442,0,A performance study of four index structures for set-valued attributes of low cardinality,"Guido Moerkotte, Sven Helmer",VLDB J.,2003,Introduction to constraint databases,Bart Kuijpers,ACM SIGMOD Record ,2002
3425,0,BeSS: Storage Support for Interactive Visualization Systems,"William O'Connell, Thomas A. Funkhouser, Alexandros Biliris, Euthimios Panagos",SIGMOD Conference,1996,"Turmoil at NASA, and numerous funding announcements",Xiaolei Qian,ACM SIGMOD Record ,1995
7041,0,Performance Measurements of Tertiary Storage Devices,"Ethan L. Miller, Theodore Johnson",VLDB,1998,Semantic Access: Semantic Interface for Querying Databases,"Naphtali Rishe, Jun Yuan, Rukshan Athauda, Shu-Ching Chen, Xiaoling Lu, Xiaobin Ma, Alexander Vaschillo, Artyom Shaposhnikov, Dmitry Vasilevsky",Very Large Data Bases,2000
6850,0,Microsoft English Query 7.5: Automatic Extraction of Semantics from Relational Databases and OLAP Cubes,Adam Blum,VLDB,1999,Italian Electronic Identity Card - principle and architecture,Mario Gentili,Very Large Data Bases,2001
7518,0,Querying a Multilevel Database: A Logical Analysis,Fr?d?ric Cuppens,VLDB,1996,Manipulating Interpolated Data is Easier than You Thought,"St&#233;phane Grumbach, Philippe Rigaux, Luc Segoufin",Very Large Data Bases,2000
8594,0,An Open Storage System for Abstract Objects,"Lukas Relly, Stephen Blott, Hans-J?rg Schek",SIGMOD Conference,1996,Integrating Triggers and Declarative Constraints in SQL Database Sytems,"Roberta Cochrane, Hamid Pirahesh, Nelson Mendon&#231;a Mattos",Very Large Data Bases,1996
7547,0,Large Databases for Remote Sensing and GIS,A. R. Dasgupta,VLDB,1996,Fundamentals of data warehouses: 2nd revised and extended edition,Vernon Hoffner,ACM SIGMOD Record ,2003
1763,1,Integrating SQL Databases with Content-Specific Search Engines,"Stefan De?loch, Nelson Mendon?a Mattos",VLDB,1997,Integrating SQL Databases with Content-Specific Search Engines,"Stefan De&#223;loch, Nelson Mendon&#231;a Mattos",Very Large Data Bases,1997
7697,0,Schema and Database Evolution in the O2 Object Database System,"Fabrizio Ferrandina, Guy Ferran, Thorsten Meyer, Roberto Zicari, Jo?lle Madec",VLDB,1995,Databases for networks,H. V. Jagadish,International Conference on Management of Data,1994
4567,0,DBGlobe: a service-oriented P2P system for global computing,"Evaggelia Pitoura, Serge Abiteboul, Michalis Vazirgiannis, Dieter Pfoser, George Samaras",SIGMOD Record,2003,Closest pair queries in spatial databases,"Antonio Corral, Yannis Manolopoulos, Yannis Theodoridis, Michael Vassilakopoulos",International Conference on Management of Data,2000
8199,0,A Database Model for Object Dynamics,"Mike P. Papazoglou, Bernd J. Kr?mer",VLDB J.,1997,User-oriented smart-cache for the Web: what you seek is what you get!,"Zo&#233; Lacroix, Arnaud Sahuguet, Raman Chandrasekar",International Conference on Management of Data,1998
3095,0,Secure and Portable Database Extensibility,"Tobias Mayr, Thorsten von Eicken, Michael W. Godfrey, Praveen Seshadri",SIGMOD Conference,1998,Learning table access cardinalities with LEO,"Volker Markl, Guy Lohman",International Conference on Management of Data,2002
2589,0,Influence Sets Based on Reverse Nearest Neighbor Queries,"S. Muthukrishnan, Flip Korn",SIGMOD Conference,2000,Database performance in the real world: TPC-D and SAP R/3,"Joachen Doppelhammer, Thomas H&#246;ppler, Alfons Kemper, Donald Kossmann",International Conference on Management of Data,1997
560,1,Evolving Teradata Decision Support for Massively Parallel Processing with UNIX,Carrie Ballinger,SIGMOD Conference,1994,Evolving teradata decision support for massively parallel processing with UNIX,Carrie Ballinger,International Conference on Management of Data,1994
1384,1,Cache Fusion: Extending Shared-Disk Clusters with Shared Caches,"Tirthankar Lahiri, N. MacNaughton, Sashikanth Chandrasekaran, Wilson Chan, Vinay Srihari",VLDB,2001,Cache Fusion: Extending Shared-Disk Clusters with Shared Caches,"Tirthankar Lahiri, Vinay Srihari, Wilson Chan, N. MacNaughton, Sashikanth Chandrasekaran",Very Large Data Bases,2001
5660,0,Metadata in Video Databases,"Ramesh Jain, Arun Hampapur",SIGMOD Record,1994,How to roll a join: asynchronous incremental view maintenance,"Kenneth Salem, Kevin Beyer, Bruce Lindsay, Roberta Cochrane",International Conference on Management of Data,2000
85,1,Finding Generalized Projected Clusters In High Dimensional Spaces,"Charu C. Aggarwal, Philip S. Yu",SIGMOD Conference,2000,Finding generalized projected clusters in high dimensional spaces,"Charu C. Aggarwal, Philip S. Yu",International Conference on Management of Data,2000
4409,0,Minimal probing: supporting expensive predicates for top-k queries,"Kevin Chen-Chuan Chang, Seung-won Hwang",SIGMOD Conference,2002,Hierarchies and relative operators in the OLAP environment,"Elaheh Pourabbas, Maurizio Rafanelli",ACM SIGMOD Record ,2000
4884,0,SQL Multimedia and Application Packages (SQL/MM),"Jim Melton, Andrew Eisenberg",SIGMOD Record,2001,DataBlitz: A High Performance Main-Memory Storage Manager,"Jerry Baulier, Philip Bohannon, S. Gogate, S. Joshi, C. Gupta, A. Khivesera, Henry F. Korth, Peter McIlroy, J. Miller, P. P. S. Narayan, M. Nemeth, Rajeev Rastogi, Abraham Silberschatz, S. Sudarshan",Very Large Data Bases,1998
1438,1,Enabling End-users to Construct Data-intensive Web-sites from XML Repositories: An Example-based Approach,"Hiroyuki Kitagawa, Satoshi Takano, Seiichi Koizumi, Atsuyuki Morishima",VLDB,2001,Enabling End-users to Construct Data-intensive Web-sites from XML Repositories: An Example-based Approach,"Atsuyuki Morishima, Seiichi Koizumi, Hiroyuki Kitagawa, Satoshi Takano",Very Large Data Bases,2001
6893,0,User-Defined Table Operators: Enhancing Extensibility for ORDBMS,"Bernhard Mitschang, Michael Jaedicke",VLDB,1999,Microsoft universal data access platform,"Jos&#233; A. Blakeley, Michael J. Pizzo",International Conference on Management of Data,1998
4675,0,Reminiscences an Influential Papers,"Jeffrey F. Naughton, Minos N. Garofalakis, Kenneth A. Ross",SIGMOD Record,2003,Report on the 5th international workshop on knowledge representation meets databases (KRDB'98),"Alex Borgida, Vinay K. Chaudhri, Martin Staudt",ACM SIGMOD Record ,1998
8597,0,"Title, Preface to the Special Issue on Persistent Object Systems",?,VLDB J.,1995,Small worlds: the dynamics of networks between order and randomness,"Jie Wu, Duncan J. Watts",ACM SIGMOD Record ,2002
5909,0,Temporal FDs on Complex Objects,Jef Wijsen,ACM Trans. Database Syst.,1999,Multidimensional Access Methods: Trees Have Grown Everywhere,"Timos K. Sellis, Nick Roussopoulos, Christos Faloutsos",Very Large Data Bases,1997
8003,0,Monotonic complements for independent data warehouses,"Gottfried Vossen, Jens Lechtenb?rger, Dominique Laurent, Nicolas Spyratos",VLDB J.,2001,CheeTah: a Lightweight Transaction Server for Plug-and-Play Internet Data Management,"Guy Pardon, Gustavo Alonso",Very Large Data Bases,2000
3046,0,Parallel Mining Algorithms for Generalized Association Rules with Classification Hierarchy,"Masaru Kitsuregawa, Takahiko Shintani",SIGMOD Conference,1998,Fast Algorithms for Maintaining Replica Consistency in Lazy Master Replicated Databases,"Esther Pacitti, Pascale Minet, Eric Simon",Very Large Data Bases,1999
5863,0,A cost model for query processing in high dimensional data spaces,Christian B?hm,ACM Trans. Database Syst.,2000,Generalised Hash Teams for Join and Group-by,"Alfons Kemper, Donald Kossmann, Christian Wiesner",Very Large Data Bases,1999
4658,0,ANSI SQL Hierarchical Processing Can Fully Integrate Native XML,Michael M. David,SIGMOD Record,2003,databases and visualization,Daniel A. Keim,International Conference on Management of Data,1996
3668,0,The SPIFFI Scalable Video-on-Demand System,"Craig S. Freedman, David J. DeWitt",SIGMOD Conference,1995,Logical and Physical Versioning in Main Memory Databases,"Rajeev Rastogi, S. Seshadri, Philip Bohannon, Dennis W. Leinbaugh, Abraham Silberschatz, S. Sudarshan",Very Large Data Bases,1997
2380,0,Progressive Approximate Aggregate Queries with a Multi-Resolution Tree Structure,"Iosif Lazaridis, Sharad Mehrotra",SIGMOD Conference,2001,Agora: Living with XML and Relational,"Ioana Manolescu, Daniela Florescu, Donald Kossmann, Florian Xhumari, Dan Olteanu",Very Large Data Bases,2000
3073,0,Similarity Query Processing Using Disk Arrays,"Apostolos Papadopoulos, Yannis Manolopoulos",SIGMOD Conference,1998,Approximate Query Processing Using Wavelets,"Kaushik Chakrabarti, Minos N. Garofalakis, Rajeev Rastogi, Kyuseok Shim",Very Large Data Bases,2000
4253,0,Continuously adaptive continuous queries over streams,"Samuel Madden, Mehul A. Shah, Vijayshankar Raman, Joseph M. Hellerstein",SIGMOD Conference,2002,Querying multi-dimensional data indexed using the Hilbert space-filling curve,"J. K. Lawder, P. J. H. King",ACM SIGMOD Record ,2001
8293,0,The Power of Languages for the Manipulation of Complex Values,"Serge Abiteboul, Catriel Beeri",VLDB J.,1995,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record ,2000
6100,0,A Taxonomy for Secure Object-Oriented Databases,"Sebastiaan H. von Solms, Martin S. Olivier",ACM Trans. Database Syst.,1994,Discovering Web Services: An Overview,Vadim Draluk,Very Large Data Bases,2001
4495,0,Developments at ACM TODS,Richard T. Snodgrass,SIGMOD Record,2003,Publish/Subscribe on the Web at Extreme Speed,"Jo&#227;o Pereira, Fran&#231;oise Fabret, Fran&#231;ois Llirbat, Radu Preotiuc-Pietro, Kenneth A. Ross, Dennis Shasha",Very Large Data Bases,2000
4461,0,RoadRunner: automatic data extraction from data-intensive web sites,"Giansalvatore Mecca, Valter Crescenzi, Paolo Merialdo",SIGMOD Conference,2002,Research issues in databases for ARCS: Active Rapidly Changing data Systems,Anindya Datta,ACM SIGMOD Record ,1994
5307,0,A Query Language for a Web-Site Management System,"Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez",SIGMOD Record,1997,COUGAR: the network is the database,"Wai Fu Fung, David Sun, Johannes Gehrke",International Conference on Management of Data,2002
1465,1,Automated Selection of Materialized Views and Indexes in SQL Databases,"Surajit Chaudhuri, Sanjay Agrawal, Vivek R. Narasayya",VLDB,2000,Automated Selection of Materialized Views and Indexes in SQL Databases,"Sanjay Agrawal, Surajit Chaudhuri, Vivek R. Narasayya",Very Large Data Bases,2000
3110,0,SAP R/3: A Database Application System (Tutorial),"Alfons Kemper, Florian Matthes, Donald Kossmann",SIGMOD Conference,1998,A Generic Approach to Bulk Loading Multidimensional Index Structures,"Jochen Van den Bercken, Bernhard Seeger, Peter Widmayer",Very Large Data Bases,1997
7312,0,Merging Ranks from Heterogeneous Internet Sources,"Hector Garcia-Molina, Luis Gravano",VLDB,1997,French government activity in the conservation of data and electronic documents,Serge Novaretti,Very Large Data Bases,2001
6275,0,Functional Properties of Information Filtering,"Masahiko Tsukamoto, Shojiro Nishio, Tsutomu Terada, Rie Sawai, Yin-Huei Loh",VLDB,2001,Sleepers and workaholics: caching strategies in mobile environments,"Daniel Barbar&#225;, Tomasz Imieli&#324;ski",International Conference on Management of Data,1994
511,1,``One Size Fits All'' Database Architectures Do Not Work for DDS,Clark D. French,SIGMOD Conference,1995,One size fits all database architectures do not work for DSS,Clark D. French,International Conference on Management of Data,1995
4266,0,APEX: an adaptive path index for XML data,"Chin-Wan Chung, Kyuseok Shim, Jun-Ki Min",SIGMOD Conference,2002,Distributed Processing over Stand-alone Systems and Applications,"Gustavo Alonso, Claus Hagen, Hans-J&#246;rg Schek, Markus Tresch",Very Large Data Bases,1997
3973,0,A Language Based Multidatabase System,"Konrad Schwarz, eva K?hn, Thomas Tschernko",SIGMOD Conference,1994,WARLOCK: A Data Allocation Tool for Parallel Warehouses,"Thomas St&#246;hr, Erhard Rahm",Very Large Data Bases,2001
5474,0,"Database Research at the Indian Institute of Technology, Bombay","S. Seshadri, Nandlal L. Sarda, D. B. Phatak, S. Sudarshan",SIGMOD Record,1996,TelegraphCQ: continuous dataflow processing,"Sirish Chandrasekaran, Owen Cooper, Amol Deshpande, Michael J. Franklin, Joseph M. Hellerstein, Wei Hong, Sailesh Krishnamurthy, Samuel R. Madden, Fred Reiss, Mehul A. Shah",International Conference on Management of Data,2003
